Matrix of word-grams occurrences tokenizer: NLTK based tokenizer
Matrix of word-grams occurrences binary: True
Matrix of word-grams occurrences sublinear_tf: False
Matrix of word-grams occurrences use_idf: False
Matrix of word-grams occurrences lowercase: True
Matrix of word-grams occurrences norm: L2
Intercept: -3.2078392594952154
Loss distribution: Binomial Deviance
Link function: logit

Feature Name,Type,Derived Feature,Transform1,Value1,Transform2,Value2,Coefficient
Location,TXT,Location-route,Matrix of word-grams occurrences,route,,,0.0
Location,TXT,Location-row,Matrix of word-grams occurrences,row,,,0.0
Location,TXT,Location-ridge suite,Matrix of word-grams occurrences,ridge suite,,,0.0
Location,TXT,Location-ridges,Matrix of word-grams occurrences,ridges,,,0.0
Location,TXT,Location-ridge,Matrix of word-grams occurrences,ridge,,,0.0
Location,TXT,Location-river suite,Matrix of word-grams occurrences,river suite,,,0.0
Location,TXT,Location-rivera,Matrix of word-grams occurrences,rivera,,,0.0
Location,TXT,Location-river,Matrix of word-grams occurrences,river,,,0.0
Location,TXT,Location-richard,Matrix of word-grams occurrences,richard,,,0.0
Location,TXT,Location-ricky,Matrix of word-grams occurrences,ricky,,,0.0
Location,TXT,Location-riley,Matrix of word-grams occurrences,riley,,,0.0
Location,TXT,Location-ri,Matrix of word-grams occurrences,ri,,,0.0
Location,TXT,Location-ranch,Matrix of word-grams occurrences,ranch,,,0.0
Location,TXT,Location-randy,Matrix of word-grams occurrences,randy,,,0.0
Location,TXT,Location-rapids,Matrix of word-grams occurrences,rapids,,,0.0
Location,TXT,Location-rapid,Matrix of word-grams occurrences,rapid,,,0.0
Location,TXT,Location-rachel,Matrix of word-grams occurrences,rachel,,,0.0
Location,TXT,Location-radial,Matrix of word-grams occurrences,radial,,,0.0
Location,TXT,Location-ramp,Matrix of word-grams occurrences,ramp,,,0.0
Location,TXT,Location-rest apt,Matrix of word-grams occurrences,rest apt,,,0.0
Location,TXT,Location-rest,Matrix of word-grams occurrences,rest,,,0.0
Location,TXT,Location-rebecca,Matrix of word-grams occurrences,rebecca,,,0.0
Location,TXT,Location-run apt,Matrix of word-grams occurrences,run apt,,,0.0
Location,TXT,Location-run,Matrix of word-grams occurrences,run,,,0.0
Location,TXT,Location-rue,Matrix of word-grams occurrences,rue,,,0.0
Location,TXT,Location-ryan,Matrix of word-grams occurrences,ryan,,,0.0
Location,TXT,Location-bridge apt,Matrix of word-grams occurrences,bridge apt,,,0.0
Location,TXT,Location-bridge,Matrix of word-grams occurrences,bridge,,,0.0
Location,TXT,Location-brianmouth,Matrix of word-grams occurrences,brianmouth,,,0.0
Location,TXT,Location-brittany,Matrix of word-grams occurrences,brittany,,,0.0
Location,TXT,Location-brook suite,Matrix of word-grams occurrences,brook suite,,,0.0
Location,TXT,Location-brooks,Matrix of word-grams occurrences,brooks,,,0.0
Location,TXT,Location-brook,Matrix of word-grams occurrences,brook,,,0.0
Location,TXT,Location-brown,Matrix of word-grams occurrences,brown,,,0.0
Location,TXT,Location-bradleyberg,Matrix of word-grams occurrences,bradleyberg,,,0.0
Location,TXT,Location-brandon,Matrix of word-grams occurrences,brandon,,,0.0
Location,TXT,Location-brenda,Matrix of word-grams occurrences,brenda,,,0.0
Location,TXT,Location-benjamin,Matrix of word-grams occurrences,benjamin,,,0.0
Location,TXT,Location-bennett,Matrix of word-grams occurrences,bennett,,,0.0
Location,TXT,Location-beasley,Matrix of word-grams occurrences,beasley,,,0.0
Location,TXT,Location-becker,Matrix of word-grams occurrences,becker,,,0.0
Location,TXT,Location-bell,Matrix of word-grams occurrences,bell,,,0.0
Location,TXT,Location-burg suite,Matrix of word-grams occurrences,burg suite,,,0.0
Location,TXT,Location-burgs,Matrix of word-grams occurrences,burgs,,,0.0
Location,TXT,Location-burg,Matrix of word-grams occurrences,burg,,,0.0
Location,TXT,Location-burns,Matrix of word-grams occurrences,burns,,,0.0
Location,TXT,Location-butler,Matrix of word-grams occurrences,butler,,,0.0
Location,TXT,Location-barbara,Matrix of word-grams occurrences,barbara,,,0.0
Location,TXT,Location-barnes,Matrix of word-grams occurrences,barnes,,,0.0
Location,TXT,Location-bailey,Matrix of word-grams occurrences,bailey,,,0.0
Location,TXT,Location-baker,Matrix of word-grams occurrences,baker,,,0.0
Location,TXT,Location-bypass suite,Matrix of word-grams occurrences,bypass suite,,,0.0
Location,TXT,Location-bypass,Matrix of word-grams occurrences,bypass,,,0.0
Location,TXT,Location-byrd,Matrix of word-grams occurrences,byrd,,,0.0
Location,TXT,Location-booth,Matrix of word-grams occurrences,booth,,,0.0
Location,TXT,Location-box,Matrix of word-grams occurrences,box,,,0.0
Location,TXT,Location-blake,Matrix of word-grams occurrences,blake,,,0.0
Location,TXT,Location-lake michael,Matrix of word-grams occurrences,lake michael,,,0.0
Location,TXT,Location-lake nathan,Matrix of word-grams occurrences,lake nathan,,,0.0
Location,TXT,Location-lake suite,Matrix of word-grams occurrences,lake suite,,,0.0
